time,S,E,R,I,H
1954.27241615332,128407.04830749864,1342.5451528659946,2092516.5809991262,775.5954582551855,1939.689959286324
1954.31074606434,128992.65183324931,912.1917407070611,2094571.5517500734,642.1813192048696,2054.9770342687007
1954.34907597536,128998.17836470956,1178.0085416519603,2096334.3046804857,680.8876512436793,1762.7592193122161
1954.38740588638,128433.97670640559,1487.4902460021185,2098480.063835941,858.8461857650922,2145.7654501358406
1954.4257357974,127206.18768222649,1860.2457361273362,2101181.645713717,1077.546334059727,2701.5881797026946
1954.46406570842,125212.9806724688,2290.3141587122964,2104549.9297437416,1334.1184527791042,3368.290341032223
1954.50239561944,122394.84460310116,2754.522147142395,2108678.41554505,1617.841514307981,4128.492123547442
1954.54072553046,118770.09537668912,3209.784470539353,2113614.5618964005,1906.2265899243357,4936.152687189423
1954.57905544148,117202.09457148107,2131.2934873827603,2118673.346795174,1545.8992598780528,5058.791250108617
1954.6173853525,116911.42255873009,1413.5885024073666,2122242.608996293,1034.0344381883626,3569.2685654646148
1954.65571526352,117397.06463944889,941.7838483464343,2124620.7568573183,688.3265070339789,2378.1542341793133
1954.69404517454,118342.77997835353,678.653792210952,2126206.794267286,463.31741092267634,1586.0437889866482
